03-02 00:57:15.837 17121 17305 I TestRunner: started: miniPlayer_pause_button_triggers_callback(com.podcast.app.ui.MiniPlayerBarTest)
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 9307392
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 8783104
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 719, inTileXLeft = 578
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 719, inTileYTop = 0
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 586
03-02 00:57:15.840  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:57:15.840  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 44], crop[Wid, Hei]=[0, 676]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 578, outTileXRight = 719
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 578, inTileXRight = 719
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 141, src h: 142,v: 1280
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:57:15.841  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.841  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.843  1507  1563 I SurfaceFlinger: id=155903 Removed Task=44864#155903 (346)
03-02 00:57:15.844  1507  1507 I SurfaceFlinger: destroyed Task=44864#155903
03-02 00:57:15.844  1507  1507 I SurfaceFlinger: destroyed ActivityRecord{103010003 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44864}#155857
03-02 00:57:15.844  1507  1507 I SurfaceFlinger: destroyed cf0b90d ActivityRecordInputSink com.podcast.app.debug/androidx.activity.ComponentActivity#155868
03-02 00:57:15.844  2013  4835 W ParceledListSlice: Element #30 is 21544 bytes.
03-02 00:57:15.845  1444  1809 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:57:15.845  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.845 14885 16270 W System.err: FlagsHookHelper: skip hook flags method getInstanceHook
03-02 00:57:15.845  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.846  1444  1809 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:57:15.846  1507  1507 I Layer   : id=155868 Destroyed cf0b90d ActivityRecordInputSink com.podcast.app.debug/androidx.activity.ComponentActivity#155868
03-02 00:57:15.846  1507  1507 I Layer   : id=155903 Destroyed Task=44864#155903
03-02 00:57:15.846  1507  1507 I Layer   : id=155857 Destroyed ActivityRecord{103010003 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44864}#155857
03-02 00:57:15.848  2013  3566 W system_server: Large reply transaction of 322012 bytes, interface descriptor android.app.IActivityTaskManager, code 26
03-02 00:57:15.848 17121 17305 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@14db0a3]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] numElements[0] key[0] metaData[0]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] setPQParam() id[a] enable[1], scenario[1]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] video TS [12467]
03-02 00:57:15.849  1444  1808 D PQ      : PQDSConfig::getEnableStatus check1  time 0 ms
03-02 00:57:15.849  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getEnableStatus = 1
03-02 00:57:15.849  1444  1808 D PQ      : [PQDSConfig] m_TDSHPTableInit 1
